Tweet,Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Created At,Hashtags
86,61,37,0,8427,1,0,258,0
87,72,74,2,5051,1,1,266,1
88,64,21,5,3898,0,0,271,1
89,43,62,3,7586,0,1,267,1
90,42,58,4,3745,1,1,277,1
91,38,90,5,987,1,1,261,1
92,64,20,3,4248,0,1,261,1
93,49,56,3,6272,0,1,276,1
94,49,0,5,7444,1,0,274,1
95,78,98,4,3267,1,1,249,1
96,81,55,4,7220,1,0,245,1
97,64,76,2,5312,1,0,258,1
98,75,92,5,5758,0,1,265,1
99,78,5,3,2283,1,0,244,1
100,58,17,3,6652,0,0,276,0
101,77,28,5,2120,0,0,244,1
102,53,85,3,7910,1,0,274,1
103,65,52,5,9599,0,1,253,1
104,80,83,3,977,0,1,262,1
105,71,28,4,1984,1,0,250,1
106,34,8,3,9401,1,1,252,0
107,52,0,2,3521,1,0,243,1
108,85,89,2,6498,1,0,246,1
109,99,35,1,6757,0,0,264,1
110,38,86,3,8534,0,0,260,0
111,37,39,5,842,0,1,270,1
112,77,86,2,8708,1,1,269,1
113,58,43,0,5186,1,0,266,1
114,83,89,5,4960,0,0,252,1
115,58,44,4,6622,0,0,270,1
116,44,45,5,91,1,0,256,1
117,47,91,3,400,0,1,261,0
118,54,97,3,8861,0,0,264,1
119,57,30,2,766,0,1,268,0
120,76,25,1,6675,0,0,275,1
121,68,92,0,1743,0,0,281,1
122,101,3,0,9348,1,1,264,1
123,34,56,2,7622,0,1,281,1
124,87,35,3,3162,1,0,261,1
125,36,9,1,8542,1,1,257,1
126,52,34,3,8483,0,1,258,1
127,50,65,3,8527,1,0,273,1
128,68,39,4,4814,1,1,272,1
129,94,92,5,5995,0,1,275,0
130,89,91,1,9921,0,1,277,1
131,63,34,5,1748,1,0,243,1
132,46,52,2,8353,1,0,272,1
133,66,19,4,1966,1,1,259,1
134,47,97,0,732,1,0,261,1
135,79,20,5,8483,0,1,262,0
136,54,87,3,1918,1,1,254,1
137,58,51,0,2540,0,0,244,1
138,41,65,1,7712,0,0,254,1
139,58,73,0,4440,0,1,250,1
140,44,51,5,823,1,1,278,1
141,72,11,2,2197,0,1,247,1
142,81,92,1,4189,1,1,246,1
143,70,25,2,7442,1,0,268,0
144,67,6,4,9362,0,1,261,1
145,48,10,1,6976,0,0,264,1
146,72,14,1,8902,1,1,242,1
147,76,76,0,7346,0,1,254,1
148,63,72,0,3183,1,1,281,1
149,70,35,3,9422,1,1,247,1
150,52,89,3,1800,0,1,254,1
151,76,89,2,5759,0,0,279,1
152,57,2,2,9113,1,1,278,1
153,57,100,2,8759,1,0,253,1
154,88,44,3,6315,0,0,258,1
155,45,18,1,9649,0,1,255,1
156,40,73,1,8997,0,1,278,1
157,44,86,5,8550,1,1,247,1
158,50,70,3,6598,1,1,256,1
159,68,64,4,6411,0,0,268,0
160,95,65,3,2560,0,0,247,1
161,67,6,5,2427,1,0,259,0
162,73,92,1,6811,1,1,281,1
163,36,57,5,7495,1,1,276,1
164,62,39,2,2415,1,1,248,1
165,67,83,3,7270,0,0,267,0
166,78,41,0,4225,0,0,277,1
167,67,55,5,3614,1,1,247,1
168,52,81,4,1635,1,0,247,0
169,72,76,1,4522,0,0,244,1
170,67,16,3,6963,0,1,250,0
171,59,18,4,6403,1,0,272,1
172,53,9,3,8380,0,1,247,1
173,57,25,3,5069,0,1,252,1
174,74,95,1,2891,0,0,245,1
175,36,43,3,8483,0,1,271,1
176,92,88,2,4470,1,0,279,1
177,86,77,4,8561,1,1,266,1
178,40,43,1,8950,0,0,261,1
179,55,70,1,4062,1,0,251,1
180,54,78,2,4405,1,1,261,1
181,74,55,2,5768,1,1,260,1
182,42,7,2,4304,0,0,272,1
183,77,5,1,7430,1,1,254,1
184,45,10,3,4748,1,0,256,0
185,71,3,5,5111,1,0,257,1
186,79,69,4,4304,0,0,250,1
187,71,73,0,2816,0,0,274,0
188,74,16,0,2535,1,0,260,1
189,66,4,5,1564,0,1,278,0
190,81,72,2,6742,0,0,278,1
191,46,93,3,8105,1,1,245,1
192,59,59,1,7846,1,1,252,0
193,86,51,4,2476,0,1,273,1
194,54,96,0,2918,1,0,265,1
195,81,48,4,3200,0,1,264,1
196,55,95,3,2073,1,0,273,1
197,77,31,0,4729,1,0,253,1
198,60,36,5,5375,1,1,261,0
199,81,86,5,2553,0,0,276,1
200,91,14,4,543,0,0,250,1
201,43,83,2,4567,0,0,279,1
202,51,31,3,2212,1,0,274,1
203,48,65,2,2631,1,1,278,1
204,61,72,2,1423,0,1,273,1
205,69,97,2,6542,0,0,274,1
206,46,60,3,6160,0,0,280,1
207,66,73,4,6635,0,1,257,1
208,84,28,3,2902,0,1,268,1
209,57,99,1,7208,0,1,279,1
210,81,98,5,8423,1,1,259,1
211,53,62,5,2421,0,1,247,1
212,74,31,4,8085,0,1,258,1
213,77,80,1,9856,0,0,255,1
214,57,79,1,7284,0,1,252,1
215,44,60,2,184,0,0,243,1
216,72,19,1,5686,1,1,253,1
217,81,32,0,1535,1,0,256,1
218,48,86,4,7236,1,0,259,0
219,36,8,2,9318,0,0,276,1
220,56,47,3,6039,1,0,248,0
221,56,42,0,7815,0,1,264,1
222,38,56,1,7525,0,0,242,1
223,50,77,2,4463,1,0,277,1
224,82,47,2,3551,0,0,271,1
225,44,50,2,1762,1,1,243,1
226,75,97,2,6747,0,0,267,1
227,67,49,4,4905,1,1,273,1
228,69,3,4,3321,0,0,252,0
229,56,65,3,3744,0,0,241,0
230,49,81,0,5477,0,1,277,0
231,98,86,3,5227,1,0,254,1
232,57,62,4,9421,1,1,259,1
233,54,48,3,3824,1,0,263,1
234,71,71,2,6219,1,0,256,0
235,52,78,1,2792,1,0,267,1
236,60,85,4,8955,0,1,269,1
237,44,88,0,3565,0,1,258,1
238,51,79,1,990,1,1,252,1
239,53,27,3,5343,0,1,243,1
240,37,18,0,4711,0,1,272,1
241,48,31,3,7164,1,1,270,1
242,70,6,0,5996,1,1,266,1
243,38,44,1,3304,1,0,256,1
244,48,62,1,939,1,0,280,1
245,80,12,0,9606,1,1,253,0
246,92,0,0,7421,0,0,256,1
247,83,83,5,1946,1,0,265,1
248,53,19,5,7292,1,0,253,1
249,48,71,2,9954,0,1,273,1
250,75,16,4,4451,1,1,281,1
251,91,45,5,9583,1,0,254,1
252,54,90,2,7363,1,0,272,1
253,75,66,5,7025,0,1,244,1
254,55,90,1,3417,1,1,241,1
255,47,29,1,8448,0,1,241,1
256,66,10,3,8556,0,0,268,1
257,40,98,5,8151,1,1,269,1
258,100,99,1,6228,1,1,273,0
259,37,75,0,7407,0,1,241,1
260,60,1,5,6811,1,1,274,1
261,35,83,5,8837,0,0,275,1
262,76,48,2,547,0,0,264,1
263,76,62,5,1373,0,1,260,1
264,48,38,4,9861,1,1,280,1
265,95,49,2,1947,0,1,254,1
266,63,26,1,8341,1,0,274,1
267,87,17,5,2256,0,0,252,1
268,74,94,5,1698,0,1,278,1
269,50,76,3,2773,0,1,242,1
270,39,11,4,7732,1,0,272,1
271,39,14,4,6242,1,1,245,1
272,69,97,2,7321,1,1,275,1
273,70,67,5,5981,0,1,279,0
274,44,11,1,3231,1,1,243,1
275,80,52,0,1759,0,0,281,1
276,39,3,4,7168,1,0,281,1
277,75,68,1,1945,1,0,257,0
278,82,55,3,1518,1,1,260,1
279,70,16,2,1876,1,1,271,0
280,53,100,1,37,0,0,278,1
281,77,40,0,741,1,1,248,1
282,59,81,0,4954,1,1,253,1
283,46,53,0,2408,1,1,280,1
284,85,62,2,2828,0,1,248,1
285,69,19,4,5657,1,1,242,1
286,44,77,5,7446,0,1,268,1
287,52,18,3,5399,0,1,269,1
288,44,45,2,7682,0,1,254,0
289,41,5,3,3740,1,0,242,1
290,51,32,3,1336,1,0,257,0
291,42,50,2,6316,0,0,261,1
292,70,33,4,8617,1,0,259,1
293,68,97,0,4879,0,1,271,1
294,84,64,5,2202,1,1,280,0
295,51,7,1,5749,1,0,280,1
296,88,46,1,1534,0,1,261,0
297,42,61,1,9357,0,0,279,1
298,48,66,2,9452,0,0,256,1
299,46,100,4,7159,0,0,281,1
300,59,68,1,3436,0,0,249,1
301,56,64,2,4050,1,1,269,1
302,72,98,0,1735,0,0,281,1
303,69,69,2,5501,0,0,261,0
304,44,51,2,2213,1,0,263,1
305,49,87,5,4323,0,0,251,1
306,83,86,3,4797,1,1,267,1
307,58,49,1,448,1,0,271,1
308,53,56,5,1428,0,1,273,1
309,45,45,3,426,1,1,266,1
310,88,90,4,2324,0,0,279,1
311,38,16,5,9214,0,0,268,1
312,55,44,0,9728,0,1,266,1
313,40,28,2,5823,0,0,267,1
314,48,79,2,3896,0,1,247,0
315,72,65,3,265,0,0,251,1
316,61,91,3,7128,1,0,248,1
317,40,7,4,380,0,1,261,1
318,60,2,5,1829,0,1,278,1
319,69,34,1,1906,1,1,263,1
320,81,42,0,1429,1,0,250,1
321,57,11,2,5587,1,1,250,1
322,88,84,3,1816,0,1,244,1
323,40,79,0,9602,1,0,279,1
324,73,23,5,8777,1,1,249,1
325,80,45,2,9287,1,1,257,1
326,82,82,1,9453,1,1,265,1
327,59,2,0,1407,0,1,244,1
328,73,58,2,6097,1,1,245,1
329,53,59,0,1188,1,0,263,1
330,67,29,4,9695,0,0,258,1
331,79,85,2,6812,0,1,242,0
332,86,39,0,4794,0,0,251,1
333,78,4,4,5258,1,1,277,1
334,59,0,0,7872,1,1,267,0
335,90,86,3,6187,1,0,265,0
336,47,88,1,8683,0,0,246,1
337,42,32,5,7792,1,0,271,1
338,56,76,3,6669,1,0,269,1
339,61,79,1,7709,1,0,243,1
340,76,54,2,4786,0,1,251,0
341,82,59,3,4180,1,1,259,1
342,84,24,4,7010,1,1,274,0
343,83,30,0,3748,0,1,241,1
344,78,35,3,7016,1,1,269,1
345,55,61,4,115,1,0,277,1
346,58,27,5,7526,0,0,245,0
347,40,69,5,4436,1,0,259,1
348,61,59,5,8800,1,1,255,1
349,76,78,0,8443,0,0,241,1
350,42,53,2,6152,0,1,262,1
351,68,15,4,326,1,1,266,1
352,41,72,5,2386,1,1,266,1
353,49,21,2,3984,0,1,263,1
354,72,57,0,3689,1,1,276,1
355,43,87,0,1889,0,1,250,1
356,44,79,2,2912,0,1,266,1
357,70,60,4,5986,0,0,253,1
358,89,81,4,4322,0,1,252,1
359,70,60,1,3262,0,1,270,1
360,63,63,2,4634,1,1,257,0
361,79,22,2,1152,0,0,258,1
362,60,25,3,7675,1,0,252,0
363,76,49,2,2114,1,0,258,1
364,95,48,4,6221,0,0,243,1
365,40,66,4,7050,0,0,253,1
366,87,62,0,4926,0,1,278,0
367,40,75,0,8511,0,1,263,1
368,41,79,0,5083,1,1,266,1
369,46,55,3,4605,0,1,274,1
370,50,86,5,8775,0,0,263,1
371,54,35,3,464,0,1,246,1
372,62,94,1,4210,1,0,243,1
373,37,80,0,1297,1,0,280,1
374,55,76,5,678,0,0,271,1
375,47,6,0,5993,0,1,261,1
376,77,22,4,4647,0,1,260,1
377,67,100,2,6876,1,1,263,1
378,92,61,0,1430,1,1,245,1
379,78,44,5,584,1,1,247,1
380,65,57,5,415,1,1,253,1
381,53,73,1,8651,0,1,257,0
382,77,74,4,2626,0,0,267,1
383,61,57,2,1901,0,1,268,1
384,52,80,2,7654,0,0,279,1
385,78,10,3,7736,1,1,253,1
386,56,26,4,1105,1,1,241,0
387,71,33,1,7108,0,1,241,1
388,91,94,1,1426,1,0,256,0
389,86,82,2,920,0,1,243,1
390,54,84,5,9346,1,1,269,1
391,79,24,4,1531,0,1,252,1
392,69,80,3,1584,0,1,275,0
393,64,23,5,4349,1,0,246,1
394,82,96,2,3594,1,0,251,1
395,48,81,1,8596,1,0,273,1
396,53,85,2,8973,0,1,248,1
397,85,27,5,6983,0,1,259,1
398,81,39,2,8717,1,0,246,1
399,56,28,3,2534,1,1,264,1
400,38,35,3,5188,1,0,246,1
401,63,69,5,9461,1,0,245,0
402,43,76,2,9721,0,0,259,1
403,77,23,1,758,0,1,278,1
404,47,72,5,319,1,0,269,1
405,75,28,5,4252,0,0,253,1
406,64,28,0,5666,1,0,270,1
407,39,73,3,3687,1,0,242,1
408,63,17,1,1348,0,0,260,1
409,64,81,0,5255,1,1,269,1
410,66,30,5,1019,0,0,265,1
411,49,71,2,3315,0,1,243,0
412,54,49,5,5652,0,1,259,1
413,44,17,3,3523,0,1,270,1
414,44,33,5,2173,0,0,247,1
415,50,74,5,7242,1,0,275,1
416,50,6,2,7552,1,0,272,1
417,56,11,2,9879,0,0,250,0
418,51,79,3,901,1,0,269,0
419,71,61,0,1826,0,0,281,1
420,38,89,1,1170,0,1,264,1
421,39,73,4,9334,0,0,259,0
422,77,77,2,5806,0,1,271,1
423,60,18,1,4684,0,1,249,1
424,78,8,3,562,0,1,259,0
425,38,61,3,8462,0,0,245,1
426,68,77,2,7814,1,0,270,0
427,69,75,0,8373,1,0,252,1
428,49,71,5,6561,0,0,264,1
429,60,6,0,506,0,1,278,1
430,43,45,0,5879,0,1,267,1
431,93,0,4,7734,1,0,248,0
432,68,6,1,6662,1,0,267,1
433,35,56,5,9388,1,1,280,1
434,28,80,1,2121,1,0,278,0
435,73,15,2,4669,1,1,243,1
436,65,100,1,4530,0,0,276,1
437,77,87,4,1988,0,0,246,1
438,42,63,0,2689,0,1,269,1
439,43,27,1,8792,1,0,268,1
440,79,3,2,4355,0,1,279,1
441,77,14,3,4682,1,1,268,1
442,35,84,5,9872,1,0,281,1
443,87,68,3,5042,1,0,261,0
444,59,65,3,7720,0,1,251,1
445,86,32,3,9488,0,0,242,1
446,49,28,3,4047,1,1,246,1
447,73,49,3,6352,1,1,247,1
448,65,3,4,5587,0,1,243,1
449,85,53,5,9654,0,1,266,1
450,39,25,2,707,1,0,264,0
451,50,92,5,8803,1,0,278,1
452,55,42,0,9735,1,1,268,1
453,82,3,5,9382,1,1,259,1
454,39,83,2,7493,1,1,248,1
455,55,71,1,4525,1,1,261,1
456,78,72,5,4502,1,0,242,1
457,34,57,2,9853,0,1,280,1
458,61,25,5,382,1,1,254,1
459,43,93,2,4165,0,1,241,1
460,87,47,4,6942,0,1,264,1
461,42,41,2,3998,1,1,274,1
462,74,95,0,6974,1,1,252,1
463,65,28,0,7319,0,1,275,1
464,82,92,0,9332,0,0,248,1
465,51,6,2,37,0,0,248,1
466,77,33,4,5680,1,1,257,1
467,55,14,3,8763,0,1,241,0
468,93,29,4,6261,1,0,266,1
469,32,15,0,7538,1,0,260,1
470,75,11,1,5433,0,1,251,1
471,69,44,2,3505,0,1,256,1
472,82,64,4,7906,0,1,264,1
473,80,17,0,8044,0,1,280,1
474,92,19,4,4892,1,0,268,1
475,50,94,5,6679,1,0,274,1
476,61,31,3,7151,1,1,279,1
477,38,77,1,8467,0,1,257,1
478,37,39,2,8772,0,0,268,0
479,66,20,3,4363,0,1,270,1
480,59,92,0,1377,1,1,263,1
481,88,100,0,1285,1,1,245,1
482,81,37,5,8128,0,0,281,1
483,57,73,1,6881,0,0,260,1
484,88,40,1,4669,0,1,270,1
485,67,31,5,5620,0,1,245,1
486,48,16,5,5570,1,0,279,1
487,73,42,0,7194,0,1,243,0
488,37,20,1,7528,1,0,276,1
489,78,33,5,5083,0,1,273,1
490,37,67,2,8304,1,1,250,1
491,67,23,2,8134,0,1,275,1
492,70,76,5,1846,0,1,244,1
493,75,11,2,1012,0,1,269,1
494,53,95,1,2549,1,1,277,1
495,82,18,5,1841,1,0,268,1
496,77,12,1,8772,0,1,281,1
497,85,7,5,141,1,0,255,0
498,37,78,3,6513,1,0,251,1
499,55,75,2,9390,1,1,242,1
500,78,98,1,8340,1,1,242,0
501,50,92,4,2164,1,0,273,1
502,80,35,4,5410,1,0,268,1
503,92,75,0,1758,1,0,275,1
504,65,98,0,2338,1,0,269,0
505,69,92,4,3145,1,0,249,1
506,48,33,0,4820,1,0,277,1
507,39,51,4,2949,0,0,275,1
508,59,13,1,9384,0,0,258,1
509,59,50,3,7418,0,0,259,0
510,71,17,0,991,1,0,277,1
511,86,99,0,9534,0,1,250,1
512,65,81,4,3417,1,1,270,0
513,44,68,5,2549,0,1,259,1
514,93,85,0,1997,0,1,275,1
515,80,80,4,1401,0,0,242,1
516,68,20,0,8449,0,1,244,1
517,60,58,5,3531,1,1,273,1
518,49,9,0,7866,0,1,271,1
519,66,94,5,4607,0,0,267,0
520,86,32,3,7913,0,1,280,1
521,85,21,2,6589,0,1,258,1
522,51,82,1,9876,1,0,270,1
523,41,31,5,3135,0,1,269,0
524,68,32,4,7450,0,1,244,1
525,51,42,1,3779,0,0,281,0
526,49,94,4,800,1,0,251,0
527,55,40,1,6905,0,0,280,0
528,50,44,3,9667,0,0,268,1
529,58,13,5,8888,0,0,246,1
530,60,70,0,427,1,1,266,1
531,70,5,1,704,0,0,259,1
532,84,6,0,6910,1,1,267,1
533,46,18,4,7880,0,0,247,0
534,98,77,4,8786,1,0,268,0
535,91,24,0,982,0,1,258,0
536,72,71,4,9032,0,1,243,1
537,63,96,3,9228,1,0,269,0
538,84,97,0,1148,1,0,279,1
539,45,77,0,3064,0,0,244,0
540,81,16,2,3594,0,0,279,1
541,70,98,1,9522,1,0,263,1
542,72,58,2,6226,1,1,252,1
543,83,36,0,5679,1,1,244,0
544,66,8,2,6068,1,0,249,1
545,70,8,2,9316,1,1,278,1
546,61,37,1,903,0,0,249,1
547,72,96,0,4908,0,0,244,1
548,84,33,2,7540,1,1,259,1
549,64,9,0,5797,0,1,255,1
550,39,93,4,3304,1,0,247,0
551,89,77,2,3627,1,1,274,0
552,62,49,3,3089,1,1,243,1
553,84,2,1,460,0,0,281,1
554,37,84,3,574,0,1,252,1
555,87,90,0,4307,1,1,255,1
556,46,63,5,9083,1,0,241,0
557,74,47,5,2306,0,0,278,1
558,89,99,2,2482,1,0,245,1
559,73,0,0,6275,0,1,278,1
560,74,47,3,6108,1,1,255,1
561,61,68,0,4907,0,0,252,1
562,79,54,2,3360,1,0,273,1
563,95,12,0,5754,0,1,276,1
564,75,91,1,7802,1,0,242,1
565,70,34,2,4499,0,1,247,1
566,79,77,0,9020,1,0,253,1
567,45,76,4,8993,0,1,262,0
568,42,55,1,8951,1,0,247,1
569,89,66,5,3161,1,0,256,1
570,57,89,4,9475,0,0,253,1
571,58,87,0,835,1,0,263,1
572,45,61,5,9658,1,1,270,0
573,77,4,0,2598,1,1,253,1
574,88,91,1,6984,1,0,263,1
575,46,54,4,6186,1,1,255,1
576,72,99,1,3243,1,1,281,1
577,71,12,2,6768,1,0,261,1
578,58,35,2,2431,0,1,261,1
579,62,63,4,1402,0,1,275,1
580,67,45,0,4478,1,0,275,0
581,80,53,4,9017,0,0,244,1
582,65,22,1,7757,0,0,244,1
583,50,38,1,9008,1,0,279,1
584,40,24,4,2861,1,1,266,1
585,47,24,4,4445,0,1,267,0
586,63,50,2,5119,0,1,276,1
587,59,28,3,3485,0,0,266,1
588,45,80,2,7964,1,1,267,1
589,54,48,0,7575,1,1,241,1
590,59,51,0,5386,0,0,254,1
591,54,81,4,8753,0,0,253,1
592,59,12,4,9654,1,1,271,1
593,57,8,4,941,1,0,241,0
594,52,2,3,5389,1,0,242,1
595,54,10,2,526,0,1,254,0
596,75,16,1,9836,0,0,281,0
597,39,8,4,6055,1,1,243,0
598,84,65,5,651,1,0,242,1
599,64,66,0,9441,1,0,270,0
600,88,62,1,6566,0,0,270,1
601,62,29,3,6217,1,0,255,1
602,81,44,1,2147,0,0,255,1
603,73,40,5,5663,0,0,275,1
604,63,69,3,9739,0,1,250,1
605,53,62,2,2014,1,1,264,1
606,78,7,0,7654,0,0,247,1
607,87,21,4,3337,1,0,265,1
608,73,18,5,4945,1,0,265,1
609,44,47,1,6011,1,1,243,1
610,76,42,1,7215,0,0,264,1
611,45,2,2,333,0,1,257,1
612,94,84,1,2021,0,0,256,1
613,69,96,3,6172,0,0,272,0
614,73,77,1,5708,0,1,278,0
615,66,33,2,7900,1,1,270,1
616,42,98,5,8617,0,1,258,1
617,81,18,2,7316,0,0,241,1
618,74,72,1,2733,0,1,271,1
619,57,82,5,6851,1,1,243,1
620,43,58,2,6131,1,0,259,1
621,47,75,5,4184,0,1,274,1
622,92,62,3,8419,0,1,257,1
623,68,55,2,1489,1,0,279,1
624,64,83,3,4707,0,0,241,1
625,59,13,5,2496,0,1,247,1
626,75,91,2,3755,1,1,268,1
627,49,54,5,9190,0,0,257,0
628,86,17,0,9276,1,0,263,1
629,66,87,2,6397,1,1,281,1
630,53,69,0,4765,1,1,281,1
631,75,70,5,107,0,0,250,1
632,44,16,5,1318,0,1,266,1
633,65,81,4,4646,0,1,268,0
634,47,6,1,8174,0,0,275,1
635,67,45,0,3276,1,0,255,1
636,78,30,1,4262,1,1,269,1
637,83,30,1,4630,0,1,246,1
638,85,12,2,5118,1,1,267,1
639,78,4,3,4185,0,0,241,1
640,81,21,2,7115,1,1,273,1
641,82,64,2,1253,0,0,271,1
642,65,67,1,2108,0,1,273,1
643,78,29,3,7136,1,0,261,0
644,58,89,2,2978,1,1,244,0
645,48,54,5,5683,0,0,251,1
646,69,19,0,6967,0,0,253,1
647,63,64,2,3141,1,1,268,0
648,53,73,3,6862,1,0,264,0
649,79,11,4,5779,0,0,244,1
650,75,36,1,7989,1,1,275,1
651,61,89,5,4110,0,0,277,1
652,39,56,5,3960,0,1,279,1
653,73,19,2,3540,0,1,252,0
654,62,89,0,2253,0,1,254,1
655,53,81,1,8267,0,1,266,1
656,45,55,0,9091,1,0,262,1
657,83,29,0,1610,0,0,277,1
658,61,29,3,5497,0,1,268,1
659,46,14,3,296,1,0,268,1
660,84,44,4,1093,0,0,277,1
661,63,26,2,2548,0,0,257,1
662,54,64,4,9499,0,0,274,1
663,100,0,5,2180,1,1,257,1
664,62,29,1,725,1,1,281,1
665,41,29,3,3373,0,1,273,1
666,80,81,4,9679,0,1,276,1
667,39,36,4,545,0,1,273,0
668,45,76,4,8563,0,1,273,1
669,42,47,0,3074,1,0,244,1
670,56,70,5,2122,0,1,258,1
671,50,40,5,5041,1,1,257,1
672,66,100,4,2399,1,1,269,1
673,65,69,3,8680,1,1,277,1
674,70,13,0,369,0,1,248,1
675,76,83,2,537,1,0,264,1
676,43,96,5,1130,1,0,243,0
677,45,64,3,3559,0,1,268,1
678,59,49,5,4098,1,1,277,1
679,48,60,5,3757,0,0,263,1
680,89,85,2,2229,1,0,280,1
681,75,42,1,3284,1,0,266,1
682,59,3,1,5664,1,1,241,1
683,71,17,0,6566,1,0,277,1
684,71,27,5,1822,1,0,262,1
685,46,75,5,8256,1,1,270,1
686,48,18,3,9455,1,0,260,1
687,49,26,1,9237,0,0,248,1
688,52,80,0,4440,0,1,252,1
689,63,4,3,1996,0,0,270,0
690,51,7,1,2626,1,1,256,1
691,73,93,2,5837,0,0,262,1
692,40,51,0,9706,0,0,247,0
693,81,21,2,8427,0,0,273,1
694,70,79,3,2115,0,0,250,0
695,51,23,1,3395,0,1,241,1
696,83,55,2,4587,1,1,246,1
697,66,6,3,1739,1,0,268,1
698,59,58,5,1492,0,1,266,0
699,89,96,3,6588,0,1,273,1
700,58,49,3,6347,0,0,279,1
701,71,73,1,9648,1,1,247,1
702,66,66,2,564,0,1,248,1
703,56,100,4,1307,0,1,267,1
704,46,50,4,1501,0,0,269,1
705,45,44,4,77,0,1,276,1
706,35,28,4,5690,0,1,259,1
707,50,31,4,6290,0,0,272,1
708,78,11,0,5952,0,0,258,1
709,52,50,3,7669,0,1,264,1
710,66,17,5,7405,1,0,255,1
711,79,96,5,4232,0,1,259,1
712,71,21,1,3088,0,0,276,1
713,72,10,4,39,0,1,256,1
714,39,0,4,5919,1,1,249,1
715,71,83,0,7644,0,1,270,1
716,58,58,2,6646,1,0,259,1
717,85,70,5,5275,1,0,275,1
718,82,32,5,8097,0,0,281,0
719,43,26,3,326,1,1,241,1
720,95,14,3,6521,0,1,257,1
721,77,37,2,8027,1,0,267,1
722,59,33,2,2942,1,0,250,1
723,71,99,0,5172,1,1,258,1
724,75,37,5,4049,1,1,279,1
725,67,69,5,6387,0,1,241,1
726,45,32,2,3734,1,0,271,1
727,54,59,4,3616,1,0,244,1
728,53,16,5,9538,1,0,252,1
729,50,31,0,4325,1,1,258,1
730,61,54,1,9161,1,0,256,1
731,53,62,0,4340,0,0,266,1
732,65,30,1,5431,0,0,241,1
733,52,42,5,1445,0,1,271,1
734,37,78,4,1728,0,1,248,0
